Date of Encounter,Which of the following groups best describes the roadkill found?,"If you are able to provide a more specific ID, please do so here!",Google Maps Plus Codes,How would you classify the path this roadkill was found on?
8/21/2011,Snake,Blue Bronzeback,Old upper Thomson Road,Road
11/9/13,Snake,Banded Malayan Coral Snake,"1.400879, 103.807041",Road
1/4/15,Snake,Indo-chinese Rat Snake,"1.2935978,103.6266679",
3/11/16,Snake,Lycodon capucinus,"9R2J+QX3, Singapore",Pavement
7/1/17,Snake,Oriental Whip Snake,"1.408873991,103.9722594",
9/19/2017,Snake,Sunbeam Snake,Block 124 Pending Road,
9/25/2017,Lizard - Monitor,Malayan Water Monitor,Sungei Tengah Road,
9/30/2017,Snake,Twin-barred Tree Snake,"1.379577828,103.8223844",
11/16/2017,Snake,Reticulated Python,Along Ulu Pandan Road turning into Pandan Valley. Across Nexus International School,
11/19/2017,Snake,Pink-headed Reed Snake,end of Old Upper Thomson Road (around 120-130),
11/24/2017,Snake,Equatorial Spitting Cobra,"1.4197913,103.72028",
12/12/17,Snake,Reticulated Python,Clarence Lane (Alexandra),
12/22/2017,Snake,Equatorial Spitting Cobra,Outside Chinese Garden entrance from MRT,
1/16/2018,Snake,Banded Malayan Coral Snake,Mandai Lake Road (Construction),
7/2/18,Snake,Gold-ringed Cat Snake,"1.3989699, 103.8063695",
3/17/2019,Snake,Pink-headed Reed Snake,Dairy Farm NP footpath,
6/17/2019,Snake,Banded Malayan Coral Snake,"Upper Seletar Reservoir, Mandai Road Track 7",
6/24/2019,Snake,Sunbeam Snake,Outside ACRES,
7/20/2019,Lizard - Agamid,Green Crested Lizard,"1.372712, 103.777501. Chestnut Avenue, just west of the underpass below BKE",
10/26/2019,Lizard - Monitor,,"Near Casurina prara house, casurina road",Not mentioned
11/13/2019,Turtle,,"Along old airport road, near dakota mrt before B02 dunman road bus stop",Road
11/13/2019,Snake,Malayan Blue Coral,New walking track opposite Meadows@Pierce Condominium,Walking Trail
11/30/2019,Lizard - Monitor,Clouded Monitor,"338 Clementi Ave 5, S120338",
12/3/19,Lizard - Agamid,Green Crested Lizard,"1.398794, 103.807388",
12/4/19,Lizard - Monitor,Malayan Water Monitor,Pasir Ris Carpark E,
1/29/2020,Snake,Reticulated Python,Sembawang,Pavement
3/23/2020,Lizard - Monitor,Malayan Water Monitor,"1°25'38.5""N 103°50'26.9""E",
4/9/20,Lizard - Monitor,,YCK Road towards Upper Thomson before junction,Road
5/1/20,Snake,Painted Bronzeback,"1.477668, 103.647921",Road
8/8/20,Snake,Lycodon capucinus,"1.341759301, 103.7966122",
8/10/20,Snake,Banded Malayan Coral Snake,Old Upp Thompson Road near Casuarina Curry,
